title,difficulty,serves,rating,reviews,vegetarian,vegan,dairy_free,keto,gluten_free,prep_time,cook_time,ingredients,picture_url,methods,recipe_urls,ingredients_dict,standardized_ingredients_dict
Nuts & seeds granola,Easy,Serves 10 (makes about 550g),Visit us on Facebook,34 ratings,True,True,True,False,False,Prep:5 mins,,[],"https://images.immediate.co.uk/production/volatile/sites/30/2021/08/Nuts-and-seeds-granola-abee2ea.jpg?quality=90&resize=556,505",[],https://www.bbcgoodfood.com/recipes/nuts-seeds-granola,{},{}
Hot chocolate bombs,Easy,Serves 6,Visit us on Facebook,1 rating,False,False,False,False,False,Prep:30 mins,,[],"https://images.immediate.co.uk/production/volatile/sites/30/2021/07/Hot-chocolate-bombs-03ab32d.jpg?quality=90&resize=556,505",[],https://www.bbcgoodfood.com/recipes/hot-chocolate-bombs,{},{}
Pumpkin spice cupcakes,Easy,Serves 12,Visit us on Facebook,14 ratings,True,False,False,False,False,Prep:25 mins,,[],"https://images.immediate.co.uk/production/volatile/sites/30/2021/07/Pumpkin-spice-cupcakes-a1fa2ca.jpg?quality=90&resize=556,505",[],https://www.bbcgoodfood.com/recipes/pumpkin-spice-cupcakes,{},{}
Coconut layer cake,Easy,Serves 8-10,Visit us on Facebook,7 ratings,True,False,False,False,False,Prep:40 mins,,[],"https://images.immediate.co.uk/production/volatile/sites/30/2021/07/Coconut-Layer-Cake-702a0e6.jpg?quality=90&resize=556,505",[],https://www.bbcgoodfood.com/recipes/coconut-layer-cake,{},{}
Apple & hazelnut galette,Easy,,Visit us on Facebook,4 ratings,True,False,False,False,False,Prep:30 mins,,[],"https://images.immediate.co.uk/production/volatile/sites/30/2021/08/Apple-hazelnut-galette-456b081.jpg?quality=90&resize=556,505",[],https://www.bbcgoodfood.com/recipes/apple-hazelnut-galette,{},{}
Apple hand pies,Easy,Serves 5,Visit us on Facebook,6 ratings,True,False,False,False,False,Prep:20 mins,,[],"https://images.immediate.co.uk/production/volatile/sites/30/2021/08/Apple-hand-pies-7b6be6d.jpg?quality=90&resize=556,505",[],https://www.bbcgoodfood.com/recipes/apple-hand-pies,{},{}
Halloween meringue monsters,More effort,Makes approx. 50 monsters,Visit us on Pinterest,0 reviews,True,False,False,False,True,Prep:1 hr,,[],"https://images.immediate.co.uk/production/volatile/sites/30/2021/08/monster-meringues-2617db6.jpg?quality=90&resize=556,505",[],https://www.bbcgoodfood.com/recipes/meringue-monsters,{},{}
Halloween gingerbread,Easy,Makes 20-25 ,Visit us on Facebook,6 ratings,True,False,False,False,False,Prep:1 hr,,[],"https://images.immediate.co.uk/production/volatile/sites/30/2021/07/Halloween-gingerbread2-f2d9dae.jpg?quality=90&resize=556,505",[],https://www.bbcgoodfood.com/recipes/halloween-gingerbread,{},{}
Meringue ghosts,More effort,Makes approx. 60 ghosts,Visit us on Facebook,6 ratings,True,False,False,False,True,Prep:1 hr,,[],"https://images.immediate.co.uk/production/volatile/sites/30/2021/08/meringue-kiss-ghosts-8d258fb.jpg?quality=90&resize=556,505",[],https://www.bbcgoodfood.com/recipes/meringue-ghosts,{},{}
Halloween pavlova,More effort,"Makes 6 letters for the pavlova, plus 40 mini ghosts",Visit us on Facebook,7 ratings,True,False,False,False,True,Prep:1 hr and 30 mins,,[],"https://images.immediate.co.uk/production/volatile/sites/30/2021/08/halloween-pavlova-a6626c3.jpg?quality=90&resize=556,505",[],https://www.bbcgoodfood.com/recipes/halloween-pavlova,{},{}
Easy jam sponge,Easy,Serves 8,Visit us on Facebook,27 ratings,True,False,False,False,False,Prep:5 mins,,[],"https://images.immediate.co.uk/production/volatile/sites/30/2021/08/easy-jam-sponge-aff767d.jpg?quality=90&resize=556,505",[],https://www.bbcgoodfood.com/recipes/easy-jam-sponge,{},{}
Mushroom tart,Easy,Serves 6,Visit us on Instagram,0 reviews,True,False,False,False,False,Prep:20 mins,,[],"https://images.immediate.co.uk/production/volatile/sites/30/2021/08/mushroom-free-from-tart-ec1554a.jpg?quality=90&resize=556,505",[],https://www.bbcgoodfood.com/recipes/mushroom-free-form-tart,{},{}
Vegan chocolate orange cake,Easy,Serves 10 - 12,Visit us on Facebook,10 ratings,False,True,False,False,False,Prep:25 mins,,[],"https://images.immediate.co.uk/production/volatile/sites/30/2021/08/vegan-chocolate-orange-cake-cdcf8e0.jpg?quality=90&resize=556,505",[],https://www.bbcgoodfood.com/recipes/vegan-chocolate-orange-cake,{},{}
Vegan tiramisu,Easy,Serves 6,Visit us on Facebook,4 ratings,True,True,True,False,False,Prep:30 mins,,[],"https://images.immediate.co.uk/production/volatile/sites/30/2021/08/vegan-tiramisu-1dab5a8.jpg?quality=90&resize=556,505",[],https://www.bbcgoodfood.com/recipes/vegan-tiramisu,{},{}
Vegan sausage casserole,Easy,Serves 6,Visit us on Facebook,14 ratings,True,True,False,False,False,Prep:15 mins,,[],"https://images.immediate.co.uk/production/volatile/sites/30/2021/08/vegan-sausage-casserole-edc67f6.jpg?quality=90&resize=556,505",[],https://www.bbcgoodfood.com/recipes/vegan-sausage-casserole,{},{}
Spaghetti aglio e olio,Easy,Serves 2,Visit us on Instagram,28 ratings,True,True,True,False,False,Prep:3 mins,,[],"https://images.immediate.co.uk/production/volatile/sites/30/2021/07/Spaghetti-da00951.jpg?quality=90&resize=556,505",[],https://www.bbcgoodfood.com/recipes/spaghetti-aglio-e-olio,{},{}
Classic pasta e fagioli,Easy,Serves 6,Visit us on Facebook,5 ratings,True,False,False,False,False,Prep:15 mins,,[],"https://images.immediate.co.uk/production/volatile/sites/30/2021/07/Soup-84c683e.jpg?quality=90&resize=556,505",[],https://www.bbcgoodfood.com/recipes/pasta-e-fagioli-2,{},{}
Penne all'arrabbiata,Easy,Serves 4,Visit us on Pinterest,6 ratings,True,True,True,False,False,Prep:3 mins,,[],"https://images.immediate.co.uk/production/volatile/sites/30/2021/07/Penne-3ab3749.jpg?quality=90&resize=556,505",[],https://www.bbcgoodfood.com/recipes/penne-allarrabbiata,{},{}
Hot buttered rum,Easy,Serves 2,Visit us on Facebook,3 ratings,True,False,False,False,True,Prep:3 mins,,[],"https://images.immediate.co.uk/production/volatile/sites/30/2021/07/Hot-buttered-rum-9ca3dd6.jpg?quality=90&resize=556,505",[],https://www.bbcgoodfood.com/recipes/hot-buttered-rum,{},{}
Chocolate apples,Easy,Serves 4,Visit us on Instagram,0 reviews,True,False,False,False,True,Prep:20 mins,,[],"https://images.immediate.co.uk/production/volatile/sites/30/2021/07/Chocolate-Apples-bf60f38.jpg?quality=90&resize=556,505",[],https://www.bbcgoodfood.com/recipes/chocolate-apples,{},{}
Spicy pumpkin soup,Easy,Serves 4,Visit us on Facebook,41 ratings,True,False,False,False,False,Prep:35 mins,,[],"https://images.immediate.co.uk/production/volatile/sites/30/2021/07/Spicy-pumpkin-soup-fcf2fe5.jpg?quality=90&resize=556,505",[],https://www.bbcgoodfood.com/recipes/spiced-pumpkin-soup-2,{},{}
White chocolate cake,More effort,Serves 16-18,Visit us on Facebook,5 ratings,True,False,False,False,False,Prep:50 mins,,[],"https://images.immediate.co.uk/production/volatile/sites/30/2021/07/White-Chocolate-Cake-2040c48.jpg?quality=90&resize=556,505",[],https://www.bbcgoodfood.com/recipes/white-chocolate-cake-2,{},{}
Classic cheese fondue,Easy,Serves 4,Visit us on Facebook,10 ratings,False,False,False,True,True,Prep:20 mins,,[],"https://images.immediate.co.uk/production/volatile/sites/30/2021/07/Classic-Cheese-Fondue-2022b37.jpg?quality=90&resize=556,505",[],https://www.bbcgoodfood.com/recipes/classic-cheese-fondue,{},{}
Vegan apple cake,Easy,Serves 8,Visit us on Facebook,16 ratings,True,True,True,False,False,Prep:20 mins,,[],"https://images.immediate.co.uk/production/volatile/sites/30/2021/07/Vegan-apple-cake-c466e14.jpg?quality=90&resize=556,505",[],https://www.bbcgoodfood.com/recipes/vegan-apple-cake,{},{}
Boozy dark delight,Easy,Serves 1,Visit us on Facebook,1 rating,True,False,False,False,False,Prep:5 mins,,[],"https://images.immediate.co.uk/production/volatile/sites/30/2021/07/Boozy-dark-delight-a2e6c41.jpg?quality=90&resize=556,505",[],https://www.bbcgoodfood.com/recipes/boozy-dark-delight,{},{}
Ginger spritz,Easy,Serves 1,Visit us on Instagram,0 reviews,True,False,False,False,False,Prep:5 mins,,[],"https://images.immediate.co.uk/production/volatile/sites/30/2021/07/Spritzy-Summer-Surprise-8f16902.jpg?quality=90&resize=556,505",[],https://www.bbcgoodfood.com/recipes/ginger-spritz,{},{}
Tropical beer cocktail,Easy,Serves 1,Visit us on Instagram,0 reviews,True,False,False,False,False,Prep:5 mins,,[],"https://images.immediate.co.uk/production/volatile/sites/30/2021/07/Melonious-Marvellous-487933b.jpg?quality=90&resize=556,505",[],https://www.bbcgoodfood.com/recipes/tropical-beer-cocktail,{},{}
Cherry loaf cake,Easy,,Visit us on Facebook,3 ratings,True,False,False,False,False,Prep:10 mins,,[],"https://images.immediate.co.uk/production/volatile/sites/30/2021/07/Cherry-Loaf-Cake-f3cafe6.jpg?quality=90&resize=556,505",[],https://www.bbcgoodfood.com/recipes/cherry-loaf-cake,{},{}
Chicken gyros,More effort,Serves 6 - 8,Visit us on Facebook,59 ratings,False,False,False,False,True,Prep:40 mins,,[],"https://images.immediate.co.uk/production/volatile/sites/30/2021/08/chicken-gyros-88debd3.jpg?quality=90&resize=556,505",[],https://www.bbcgoodfood.com/recipes/big-barbecue-chicken-kebab,{},{}
Apple jam,Easy,Makes 2 x 500g jars ,Visit us on Facebook,12 ratings,False,False,False,False,True,Prep:15 mins,,[],"https://images.immediate.co.uk/production/volatile/sites/30/2021/07/Apple-Jam-01e8e4b.jpg?quality=90&resize=556,505",[],https://www.bbcgoodfood.com/recipes/apple-jam,{},{}
Chocolate Swiss roll,Easy,Serves 6,Visit us on Facebook,15 ratings,True,False,False,False,False,Prep:30 mins,,[],"https://images.immediate.co.uk/production/volatile/sites/30/2021/07/Chocolate-Swiss-Roll-e800e06.jpg?quality=90&resize=556,505",[],https://www.bbcgoodfood.com/recipes/chocolate-swiss-roll,{},{}
English garden cocktail,Easy,Serves 1,Visit us on Facebook,5 ratings,True,True,True,False,True,Prep:5 mins,,[],"https://images.immediate.co.uk/production/volatile/sites/30/2021/08/english-garden-386b42f.jpg?quality=90&resize=556,505",[],https://www.bbcgoodfood.com/recipes/english-garden-cocktail,{},{}
Creamy salmon pasta,Easy,Serves 2,Visit us on Facebook,42 ratings,False,False,False,False,False,Prep:15 mins,,[],"https://images.immediate.co.uk/production/volatile/sites/30/2021/07/Creamy-Salmon-Pasta-427f3b6.jpg?quality=90&resize=556,505",[],https://www.bbcgoodfood.com/recipes/creamy-salmon-pasta,{},{}
Plum gin,Easy,makes 1 litre ,Visit us on Facebook,5 ratings,True,True,True,False,True,Prep:20 mins,,[],"https://images.immediate.co.uk/production/volatile/sites/30/2021/07/Plum-gin-6d6cdd6.jpg?quality=90&resize=556,505",[],https://www.bbcgoodfood.com/recipes/plum-gin,{},{}
Beer mojito,Easy,Serves 1,Visit us on Instagram,0 reviews,True,False,False,False,False,Prep:8 mins,,[],"https://images.immediate.co.uk/production/volatile/sites/30/2021/07/Classic-beer-mojito-886a521.jpg?quality=90&resize=556,505",[],https://www.bbcgoodfood.com/recipes/beer-mojito,{},{}
Classic shandy,Easy,Serves 1,Visit us on Instagram,0 reviews,True,False,False,False,False,Prep:5 mins,,[],"https://images.immediate.co.uk/production/volatile/sites/30/2021/07/Classic-shandy-549b3db.jpg?quality=90&resize=556,505",[],https://www.bbcgoodfood.com/recipes/classic-shandy,{},{}
One-pan coconut dhal,Easy,Serves 4,Visit us on Facebook,18 ratings,True,True,True,False,True,Prep:10 mins,,[],"https://images.immediate.co.uk/production/volatile/sites/30/2021/07/Coconut-dhal-e7c1fe2.jpg?quality=90&resize=556,505",[],https://www.bbcgoodfood.com/recipes/one-pan-coconut-dhal,{},{}
Roasted teriyaki veg bowl,Easy,Serves 4,Visit us on Twitter,6 ratings,True,True,True,False,False,Prep:15 mins,,[],"https://images.immediate.co.uk/production/volatile/sites/30/2021/07/Roasted-teriyaki-veg-bowl-7d9916a.jpg?quality=90&resize=556,505",[],https://www.bbcgoodfood.com/recipes/roasted-teriyaki-veg-bowl,{},{}
Spinach falafel & hummus bowl,Easy,Serves 4,Visit us on Facebook,15 ratings,True,True,True,False,False,Prep:5 mins,,[],"https://images.immediate.co.uk/production/volatile/sites/30/2021/07/Spinach-falafel-and-hummus-bowl-5bb9369.jpg?quality=90&resize=556,505",[],https://www.bbcgoodfood.com/recipes/spinach-falafel-hummus-bowl,{},{}
Beetroot & feta pasta,Easy,Serves 4,Visit us on Facebook,19 ratings,False,False,False,False,False,Prep:20 mins,,[],"https://images.immediate.co.uk/production/volatile/sites/30/2021/07/Beetroot-and-feta-pasta-1addeb7.jpg?quality=90&resize=556,505",[],https://www.bbcgoodfood.com/recipes/beetroot-feta-pasta,{},{}
Vegan salad bowl,Easy,Serves 4,Visit us on Twitter,5 ratings,True,True,True,False,False,Prep:15 mins,,[],"https://images.immediate.co.uk/production/volatile/sites/30/2021/07/Buddha-bowl-salad-eade933.jpg?quality=90&resize=556,505",[],https://www.bbcgoodfood.com/recipes/buddha-bowl-salad,{},{}
Harissa-honey marinade,Easy,Serves 4,Visit us on Facebook,1 rating,True,False,False,False,True,Prep:5 mins,,[],"https://images.immediate.co.uk/production/volatile/sites/30/2021/07/Harissa-honey-marinade-73cd86d.jpg?quality=90&resize=556,505",[],https://www.bbcgoodfood.com/recipes/harissa-honey-marinade,{},{}
"Peanut, chilli & garlic oil",Easy,Makes 200ml,Visit us on Instagram,0 reviews,True,True,True,False,False,Prep:5 mins,,[],"https://images.immediate.co.uk/production/volatile/sites/30/2021/07/Peanut-chilli-and-garlic-oil-f6c5474.jpg?quality=90&resize=556,505",[],https://www.bbcgoodfood.com/recipes/peanut-chilli-garlic-oil,{},{}
Turmeric-ginger marinade,Easy,Serves 4,Visit us on Facebook,2 ratings,True,True,True,False,True,Prep:5 mins,,[],"https://images.immediate.co.uk/production/volatile/sites/30/2021/07/Turmeric-ginger-marinade-756cb24.jpg?quality=90&resize=556,505",[],https://www.bbcgoodfood.com/recipes/turmeric-ginger-marinade,{},{}
Chipotle & lime dressing,Easy,Serves 4,Visit us on Instagram,0 reviews,True,True,True,False,True,Prep:5 mins,,[],"https://images.immediate.co.uk/production/volatile/sites/30/2021/07/Chipotle-and-lime-dressing-56a4cb0.jpg?quality=90&resize=556,505",[],https://www.bbcgoodfood.com/recipes/chipotle-lime-dressing,{},{}
Coconut-chilli marinade,Easy,Serves 4,Visit us on Facebook,1 rating,False,False,False,False,True,Prep:5 mins,,[],"https://images.immediate.co.uk/production/volatile/sites/30/2021/07/Coconut-chilli-marinade-93f41da.jpg?quality=90&resize=556,505",[],https://www.bbcgoodfood.com/recipes/coconut-chilli-marinade,{},{}
Coconut panna cotta with mango & ginger nuts,Easy,Serves 6 - 8,Visit us on Facebook,6 ratings,False,False,False,False,False,Prep:10 mins,,[],"https://images.immediate.co.uk/production/volatile/sites/30/2021/07/Coconut-panna-cotta-with-mango-and-ginger-nuts-ae466db.jpg?quality=90&resize=556,505",[],https://www.bbcgoodfood.com/recipes/coconut-panna-cotta-with-mango-ginger-nuts,{},{}
Broccoli with charred red peppers & feta,Easy,Serves 4-6 as a side,Visit us on Facebook,1 rating,True,False,False,False,True,Prep:10 mins,,[],"https://images.immediate.co.uk/production/volatile/sites/30/2021/07/Broccoli-with-charred-red-peppers-and-feta-5e0d2f6.jpg?quality=90&resize=556,505",[],https://www.bbcgoodfood.com/recipes/broccoli-with-charred-red-peppers-feta,{},{}
Fennel & lemon boulangère potatoes,More effort,Serves 4-6 as a side,Visit us on Facebook,1 rating,False,False,False,False,False,Prep:25 mins,,[],"https://images.immediate.co.uk/production/volatile/sites/30/2021/07/Fennel-and-lemon-boulangere-potatoes-b2fbbad.jpg?quality=90&resize=556,505",[],https://www.bbcgoodfood.com/recipes/fennel-lemon-boulangere-potatoes,{},{}
Slow-roast lamb with prunes & roasted garlic,Easy,Serves 6 - 8,Visit us on Facebook,2 ratings,False,False,False,False,False,Prep:20 mins,,[],"https://images.immediate.co.uk/production/volatile/sites/30/2021/07/Slow-roast-lamb-with-prunes-and-roasted-garlic-e5a223f.jpg?quality=90&resize=556,505",[],https://www.bbcgoodfood.com/recipes/slow-roast-lamb-with-prunes-roasted-garlic,{},{}
Carrot cake fridge flapjacks,Easy,Makes 12,Visit us on Facebook,6 ratings,False,False,False,False,False,Prep:15 mins,,[],"https://images.immediate.co.uk/production/volatile/sites/30/2021/07/Carrot-cake-fridge-flapjacks-07b2d15.jpg?quality=90&resize=556,505",[],https://www.bbcgoodfood.com/recipes/carrot-cake-fridge-flapjacks,{},{}
Jammy blackberry & almond crumble cake,Serves 12 - 16,,Visit us on Facebook,14 ratings,True,False,False,False,False,Prep:20 mins,,[],"https://images.immediate.co.uk/production/volatile/sites/30/2021/07/Jammy-blackberry-and-almond-crumble-cake-18c9873.jpg?quality=90&resize=556,505",[],https://www.bbcgoodfood.com/recipes/jammy-blackberry-almond-crumble-cake,{},{}
PBJ cookie ice cream sandwiches,Easy,Makes 8 ice cream sandwiches plus 500ml ice cream,Visit us on Pinterest,0 reviews,False,False,False,False,True,Prep:20 mins,,[],"https://images.immediate.co.uk/production/volatile/sites/30/2021/07/Cookie-Ice-Cream-Sandwiches-34878c5.jpg?quality=90&resize=556,505",[],https://www.bbcgoodfood.com/recipes/pbj-cookie-ice-cream-sandwiches,{},{}
Veggie hummus pasta salad,Easy,Serves 4,Visit us on Instagram,5 ratings,True,True,True,False,False,Prep:20 mins,,[],"https://images.immediate.co.uk/production/volatile/sites/30/2021/07/Veggie-hummus-pasta-salad-3727588.jpg?quality=90&resize=556,505",[],https://www.bbcgoodfood.com/recipes/veggie-hummus-pasta-salad,{},{}
Mango chutney campfire cheese toasties,Easy,Serves 4,Visit us on Pinterest,8 ratings,False,False,False,False,False,Prep:10 mins,,[],"https://images.immediate.co.uk/production/volatile/sites/30/2021/07/Mango-chutney-campfire-cheese-toasties-819beb2.jpg?quality=90&resize=556,505",[],https://www.bbcgoodfood.com/recipes/mango-chutney-campfire-cheese-toasties,{},{}
Sweetcorn with smoked paprika & lime butter,Easy,Serves 4 as a side dish,Visit us on Facebook,3 ratings,False,False,False,False,True,Prep:10 mins,,[],"https://images.immediate.co.uk/production/volatile/sites/30/2021/07/Sweetcorn-with-smoked-paprika-and-lime-butter-7a392b1.jpg?quality=90&resize=556,505",[],https://www.bbcgoodfood.com/recipes/sweetcorn-with-smoked-paprika-lime-butter,{},{}
Fried chicken with pineapple hot sauce,Easy,Serves 4,Visit us on Facebook,4 ratings,False,False,False,False,False,Prep:20 mins,,[],"https://images.immediate.co.uk/production/volatile/sites/30/2021/07/Fried-chicken-with-pineapple-hot-sauce-69a6a8d.jpg?quality=90&resize=556,505",[],https://www.bbcgoodfood.com/recipes/fried-chicken-with-pineapple-hot-sauce,{},{}
Pineapple hot sauce,Easy,Serves 4,Visit us on Facebook,3 ratings,True,False,False,False,True,Prep:10 mins,,[],"https://images.immediate.co.uk/production/volatile/sites/30/2021/07/Hot-pineapple-sauce-a30cd5d.jpg?quality=90&resize=556,505",[],https://www.bbcgoodfood.com/recipes/pineapple-hot-sauce,{},{}
Salpicón de marisco,Easy,Serves 4 as a starter,Visit us on Facebook,1 rating,False,False,False,False,True,Prep:35 mins,,[],"https://images.immediate.co.uk/production/volatile/sites/30/2021/07/Salpicon-de-marisco-057ca55.jpg?quality=90&resize=556,505",[],https://www.bbcgoodfood.com/recipes/salpicon-de-marisco,{},{}
Frozen mango daiquiri,Easy,Serves 1,Visit us on Instagram,0 reviews,True,True,True,False,True,Prep:5 mins,,[],"https://images.immediate.co.uk/production/volatile/sites/30/2021/07/Frozen-mango-daiquiri-a2610b3.jpg?quality=90&resize=556,505",[],https://www.bbcgoodfood.com/recipes/frozen-mango-daiquiri,{},{}
"Runner beans, chorizo & almonds",Easy,Serves 4,Visit us on Facebook,1 rating,False,False,False,False,False,Prep:10 mins,,[],"https://images.immediate.co.uk/production/volatile/sites/30/2021/07/Runner-beans-chorizo-and-almonds-cad7eae.jpg?quality=90&resize=556,505",[],https://www.bbcgoodfood.com/recipes/runner-beans-chorizo-almonds,{},{}
