title,difficulty,serves,rating,reviews,vegetarian,vegan,dairy_free,keto,gluten_free,prep_time,cook_time,ingredients,picture_url,methods,recipe_urls,ingredients_dict,standardized_ingredients_dict,serves_dict,makes,servings,total_time
"Sausage, lentil & leek casserole",Easy,Serves 4,Visit us on Facebook,0 reviews,False,False,False,False,False,Prep:15 mins,,"['1 leek, trimmed and thinly sliced', '2 rosemary sprigs', 'pork sausages', '1 tbsp olive oil', '2 tomatoes, finely chopped', 'sundried tomato purée', '400g can   green or brown lentils, drained and rinsed', 'warm chicken stock', '1 tbsp chopped fresh parsley', 'Dijon mustard and crusty bread  or creamy mash, to serve']","https://images.immediate.co.uk/production/volatile/sites/30/2024/10/AirFryerSausageLentilLeekCasserole-2dd8c21.jpg?quality=90&resize=440,400","['Heat the air fryer to 180C. Put the leeks and rosemary in a small casserole dish and sit the sausages on top. Drizzle over the oil and cook for 10 mins in the fryer until the sausages are browned on top and the leeks have softened.', 'Lift out the sausages and tip the tomatoes, purée, lentils and stock into the dish. Put the sausages back with the browned side facing down. Cover and cook for a further 10 mins, until the leeks are tender.', 'Uncover and cook for a final 5 mins until the sausages are nicely browned. Sprinkle over the parsley and serve with a dollop of mustard and some crusty bread or creamy mash.']",https://www.bbcgoodfood.com/recipes/sausage-lentil-leek-casserole,"{'leek': '1', 'rosemary sprigs': '2', 'pork sausages': None, 'olive oil': '1 tbsp', 'tomatoes': '2', 'sundried tomato pur': None, 'can green or brown lentils': '400g', 'warm chicken stock': None, 'chopped fresh parsley': '1 tbsp', 'Dijon mustard and crusty bread or creamy mash': None}","{'leek': '1', 'rosemary': '2', 'pork sausages': None, 'olive oil': '1 tbsp', 'tomato': None, 'brown lentil': '400g', 'chicken stock': None, 'parsley': '1 tbsp', 'mustard': None}",{'serves': '4'},,4,15
Halloumi chips with yogurt & pomegranate,Easy,Serves 4 as a starter or snack  ,Visit us on Facebook,0 reviews,True,False,False,False,True,Prep:15 mins,,"['2 tbsp rice flour ', 'pul biber', '250g block  halloumi', '1 tbsp  olive oil', '200g Greek strained yogurt', '1 small  garlic clove, finely grated or crushed', 'finely chopped coriander', '1 tbsp  pomegranate molasses  (or sour cherry molasses)', '2 tbsp pomegranate seeds']","https://images.immediate.co.uk/production/volatile/sites/30/2024/10/AirFryerHalloumiChipsYogPomegranate-1b91009.jpg?quality=90&resize=440,400","['Heat the air fryer to 180C. Combine the flour and pul biber in a shallow bowl. Cut the halloumi into wide chips and pat dry.', 'Drizzle the oil over the halloumi chips and mix to coat, then roll in the seasoned flour. Put the chips in the fryer basket and cook for 10-12 mins, turning halfway through, until crisp and golden.', 'Meanwhile, stir together the yogurt, garlic and coriander, then season to taste. Transfer to a shallow bowl and drizzle with the molasses. Sprinkle over the pomegranate seeds and coriander leaves.', 'Serve the halloumi chips with the yogurt on the side for dipping.']",https://www.bbcgoodfood.com/recipes/halloumi-chips-with-yogurt-pomegranate,"{'rice flour': '2 tbsp', 'pul biber': None, 'block halloumi': '250g', 'olive oil': '1 tbsp', 'Greek strained yogurt': '200g', 'small garlic clove': '1', 'finely chopped coriander': None, 'pomegranate molasses': '1 tbsp', 'pomegranate seeds': '2 tbsp'}","{'rice flour': '2 tbsp', 'halloumi': '250g', 'olive oil': '1 tbsp', 'garlic': '1', 'coriander': None, 'pomegranate molasses': '1 tbsp', 'pomegranate': '2 tbsp'}",{'serves': '4'},,4 as a starter or snack,15
Spiced duck breasts with sticky clementine sauce,Easy,Serves 2,Visit us on Twitter,0 reviews,False,False,False,False,False,Prep:10 mins,,"['2 boneless duck breasts', '½ tsp  ground cinnamon', '½ tsp  ground ginger', '1 small  onion, sliced', '2 clementines, sliced', '1 tsp olive oil', '50g dried apricots, chopped', '1 tbsp honey', 'warm chicken stock', ', to serve']","https://images.immediate.co.uk/production/volatile/sites/30/2024/10/SpicedDuckClemSauce-5106fa0.jpg?quality=90&resize=440,400","['Pierce the duck skin all over with a skewer. Mix together the cinnamon, ginger and ½ tsp fine sea salt, then rub all over the duck breasts. Set aside at room temperature for 20 mins.', 'Heat the air fryer to 200C. Put the onions and clementines in a small casserole dish, toss with the oil and cook in the air fryer for 5 mins.', 'Pat the duck breasts dry with kitchen paper, then place skin-side up on top of the onion and clementine mix. Cook for 10 mins, stirring the onions and clementines halfway through to coat them in the duck fat.', 'Lower the temperature to 190C. Stir the apricots, honey and stock together, then pour into the casserole dish. Cook for 5 mins, until the duck skin is crispy, then lift the duck out onto a warm plate and rest for 5 mins.', 'Cook the sauce for a final 5 mins to thicken. Serve the duck and sauce in shallow bowls with rice or mash.']",https://www.bbcgoodfood.com/recipes/spiced-duck-breasts-with-sticky-clementine-sauce,"{'boneless duck breasts': '2', 'small onion': '1', 'clementines': '2', 'olive oil': '1 tsp', 'dried apricots': '50g', 'honey': '1 tbsp', 'warm chicken stock': None}","{'duck': '2', 'onion': '1', 'clementine': '2', 'olive oil': '1 tsp', 'dried apricots': '50g', 'honey': '1 tbsp', 'chicken stock': None}",{'serves': '2'},,2,10
Snowball cookies,Easy,Serves 10,5 stars out of 5,1 rating,True,False,False,False,False,Prep:10 mins,,"['100g pecans', '70g plain flour', '50g softened butter', '25g caster sugar', '1 orange, zested', '2 tbsp icing sugar, plus extra for dusting']","https://images.immediate.co.uk/production/volatile/sites/30/2021/11/Snowball-cookies-a522e11.jpg?quality=90&resize=556,505","['Heat the oven to 180C/160C fan/gas 4 or if using an air fryer heat to 160C. Line a large baking tray with baking parchment or if using an air fryer, one that will fit in your basket. Tip the pecans into a food processor and blitz until they resemble a rough powder. Tip into a bowl and stir in the flour.', 'In a separate bowl, beat the butter, caster sugar and orange zest together with an electric whisk until pale and fluffy. Add the flour and pecan mix and stir with a wooden spoon until everything comes together in a rough dough. Shape into 10 even-sized balls and put on the tray.', 'Bake for 15 mins until set but the top is still pale in colour or if using an air fryer 10-15 mins (you may need to do this in batches). Leave to cool on the tray for 5 mins, then, once cool enough to handle, gently roll the balls in the icing sugar and return to the tray. Leave to cool completely. Will keep in an airtight container for up to five days. Dust with more icing sugar just before serving.']",https://www.bbcgoodfood.com/recipes/snowball-cookies,"{'pecans': '100g', 'plain flour': '70g', 'softened butter': '50g', 'caster sugar': '25g', 'orange': '1', 'icing sugar': '2 tbsp'}","{'pecan': '100g', 'plain flour': '70g', 'butter': '50g', 'caster sugar': '25g', 'orange': '1', 'icing sugar': '2 tbsp'}",{'serves': '10'},,10,10
Salmon en papillote with dill creme fraiche,Easy,Serves 2,Visit us on Facebook,0 reviews,False,False,False,False,False,Prep:20 mins,,"['2 x 120g  skinless, boneless salmon fillets', '½ lemon', '2 tsp olive oil or butter ', '50g crème fraîche', 'garlic mayonnaise  ', 'chopped fresh dill']","https://images.immediate.co.uk/production/volatile/sites/30/2024/10/AirFryerSalmonEnPapilloteDillCremeFraiche-c423de5.jpg?quality=90&resize=440,400","['Sprinkle each salmon fillet with ½ tsp salt and set aside for 20 mins (this helps draw out excess water and firm up the fillets). Rinse with cold water and pat dry with kitchen paper.', 'Heat the air fryer to 180C. Cut two 30cm circles of baking parchment and put a salmon fillet in the centre of each disc. Cut 2 lemon slices and place one on each fillet, then drizzle with oil or top with the butter. Lift the edges of the paper to the centre, then crimp together tightly to enclose the salmon. Cook for 10 mins.', 'Meanwhile, stir together the crème fraîche, mayonnaise and chopped dill. Season and add a squeeze of lemon juice to taste.', 'Carefully open the salmon parcels and scatter over the reserved dill fronds. Serve the salmon alongside the dill crème fraîche.']",https://www.bbcgoodfood.com/recipes/salmon-en-papillote-with-dill-creme-fraiche,"{'x skinless': '120g', 'olive oil or butter': '2 tsp', 'cr': '50g', 'garlic mayonnaise': None, 'chopped fresh dill': None}","{'olive oil': '2 tsp', 'mayonnaise': None, 'dill': None}",{'serves': '2'},,2,20
Puttanesca baked gnocchi,Easy,Serves 4,5 stars out of 5,60 ratings,False,False,False,False,False,Prep:5 mins,,"['2 x 400g cans cherry tomatoes', 'olive oil, for frying', '1 onion, finely chopped', '1 tsp chilli flakes', '1 tbsp capers, drained', '60g black pitted Kalamata olives, roughly chopped', '5 anchovy fillets in oil, finely chopped', 'sugar', '500g shop-bought gnocchi', 'mozzarella']","https://images.immediate.co.uk/production/volatile/sites/30/2020/08/puttanesca-baked-gnocchi-0707825.jpg?quality=90&resize=440,400","['Blitz one of the cans of tomatoes until smooth and set aside. Heat a glug of oil in a medium-sized saucepan over a medium heat. Add the onion and a generous pinch of salt and fry gently for 8-10 mins until softened and translucent. Tip the chilli and all the tomatoes into the pan, lower the heat, then simmer for 10 mins, uncovered. Fill one of the empty cans a quarter full with water and add this to the sauce. Stir through the capers, olives and anchovies. Season with salt, pepper and a couple of generous pinches of sugar. Cook on a gentle heat, uncovered, for a further 5 mins. Keep warm until needed.', 'Bring a large pan of water to the boil. Add the gnocchi and cook for 2 mins. Drain and toss with the tomato sauce, then tip into an ovenproof dish or shallow casserole. Top with the torn mozzarella and a good grating of black pepper then pop under a high grill for 3-4 mins. Or if using an air fryer, heat it to 170C. Add the pasta to a baking dish that will fit in your air fryer and top with mozzarella, plus a good grinding of black pepper. Air fry for 10 mins or until the mozzarella is molten and gooey.']",https://www.bbcgoodfood.com/recipes/puttanesca-baked-gnocchi,"{'x cans cherry tomatoes': '400g', 'olive oil': None, 'onion': '1', 'chilli flakes': '1 tsp', 'capers': '1 tbsp', 'black pitted Kalamata olives': '60g', 'anchovy fillets in oil': '5', 'sugar': None, 'shop-bought gnocchi': '500g', 'mozzarella': None}","{'cherry tomatoes': '400g', 'olive oil': None, 'onion': '1', 'chilli': '1 tsp', 'capers': '1 tbsp', 'olive': '60g', 'oil': '5', 'sugar': None, 'gnocchi': '500g', 'mozzarella': None}",{'serves': '4'},,4,5
Easy mini beef wellingtons,Easy,Serves 2,Visit us on Facebook,0 reviews,False,False,False,False,False,Prep:15 mins,,"['beef fillet steaks ', '1 tsp olive oil', 'puff pastry sheet', 'roasted mushroom pâté', 'Parma ham', '1 egg, beaten']","https://images.immediate.co.uk/production/volatile/sites/30/2024/10/AirFryerMiniBeefWellington-c256b41.jpg?quality=90&resize=440,400","['Heat the air fryer to its highest setting. Brush the steaks with oil and season with salt. Cook for 4 mins, then remove from the air fryer and leave to cool completely. Meanwhile, take the pastry out of the fridge and set aside at room temperature for 10 mins.', 'Lay two sheets of Parma ham in a cross and put a beef fillet in the centre. Repeat with the remaining ham and beef fillet. Spoon the pâté on top (if you can, round it a little to make a dome) then fold the ham over to make two parcels.', 'Open out the pastry and cut in half. Put the wrapped fillets on the end of each pastry rectangle, then brush the surrounding pastry with a little water. Fold the pastry over and gently press down around the beef with your hands, trying to make sure there’s no trapped air. Use a small knife to trim away the excess pastry (leave as a rectangle or shape into an oval), then seal the edges with a fork.', 'Heat the air fryer to 180C. Brush the parcels with beaten egg and cook for 15 mins for medium, or 20 mins for well done. Leave to rest for a few mins before serving.']",https://www.bbcgoodfood.com/recipes/easy-mini-beef-wellingtons,"{'beef fillet steaks': None, 'olive oil': '1 tsp', 'puff pastry sheet': None, 'roasted mushroom p': None, 'Parma ham': None, 'egg': '1'}","{'steak': None, 'olive oil': '1 tsp', 'puff pastry': None, 'mushroom': None, 'ham': None, 'egg': '1'}",{'serves': '2'},,2,15
Vegan chickpea curry jacket potatoes,Easy,Serves 4,5 stars out of 5,87 ratings,True,True,True,False,True,Prep:15 mins,,"['4 sweet potatoes', '1 tbsp coconut oil', '1 ½ tsp  cumin seeds', '1 large onion, diced', '2 garlic cloves, crushed', 'thumb-sized piece of ginger, finely grated', '1 green chilli, finely chopped', '1 tsp garam masala', 'ground coriander', '½ tsp turmeric', 'tikka masala paste', '2 x 400g can  chopped tomatoes', 'chickpeas', 'lemon wedges and coriander leaves, to serve']","https://images.immediate.co.uk/production/volatile/sites/30/2020/08/sweet-potato-curry-46f4bc8.jpg?quality=90&resize=440,400","['Heat the oven to 200C/180C fan/gas 6 or if using an air fryer heat to 200C. Prick the sweet potatoes all over with a fork, then put on a baking tray and roast in the oven for 45 mins or in air fryer basket for 50 mins or until tender when pierced with a knife.', 'Meanwhile, melt the coconut oil in a large saucepan over medium heat. Add the cumin seeds and fry for 1 min until fragrant, then add the onion and fry for 7-10 mins until softened.', 'Put the garlic, ginger and green chilli into the pan, and cook for 2-3 mins. Add the spices and tikka masala paste and cook for a further 2 mins until fragrant, then tip in the tomatoes. Bring to a simmer, then tip in the chickpeas and cook for a further 20 mins until thickened. Season.', 'Put the roasted sweet potatoes on four plates and cut open lengthways. Spoon over the chickpea curry and squeeze over the lemon wedges. Season, then scatter with coriander before serving.']",https://www.bbcgoodfood.com/recipes/vegan-chickpea-curry-jacket-potato,"{'sweet potatoes': '4', 'coconut oil': '1 tbsp', 'large onion': '1', 'garlic cloves': '2', 'thumb-sized piece of ginger': None, 'green chilli': '1', 'garam masala': '1 tsp', 'ground coriander': None, 'tikka masala paste': None, 'x can chopped tomatoes': '400g', 'chickpeas': None, 'lemon wedges and coriander leaves': None}","{'sweet potato': '4', 'coconut oil': '1 tbsp', 'onion': '1', 'cloves': '2', 'ginger': None, 'chilli': '1', 'garam masala': '1 tsp', 'coriander': None, 'chopped tomatoes': '400g', 'chickpea': None}",{'serves': '4'},,4,15
Roasted pepper shakshuka,Easy,Serves 4,5 stars out of 5,1 rating,True,False,False,False,False,Prep:20 mins,,"['2 peppers', '1 tbsp olive oil', '3 garlic cloves, crushed', '2 x 400g can chopped tomatoes', 'ras el hanout', '4-8  eggs', 'flatbreads', 'coriander']","https://images.immediate.co.uk/production/volatile/sites/30/2022/05/Roasted-pepper-shakshuka-2b2f8b3.jpg?quality=90&resize=556,505","['Heat the oven to 220C/200C fan/gas 6 or if using an air fryer heat to 200C. Find a deep roasting tin (ours was 25cm x 35cm).', 'Cut the peppers into strips, then tip into the roasting tin. Drizzle over the olive oil. Season the peppers with a pinch of salt and some black pepper, then toss together using a wooden spoon. Bake in the oven or air fryer for 10 mins.', 'Carefully remove the tin from the oven or air fryer. Squeeze the crushed garlic over the peppers.', 'Add the crushed tomatoes and ras el hanout spice blend. Mix the ingredients using a wooden spoon, then return to the oven or air fryer and bake for 15 mins.', 'Remove from the oven. Crack your first egg into a small bowl. Make a little space in the tomatoey sauce with your wooden spoon, then pour in the egg. Continue with the rest of the eggs, cracking them into the bowl, then making a little space in the sauce and pouring them in. Return the tin to the oven and bake for 5 mins more.', 'Remove the tin, then put the flatbreads in the oven or air fryer and heat through for 5 mins.', 'To serve, use a big spoon to scoop an egg or two onto each plate, along with some of the sauce, and sprinkle over the coriander. Serve with the flatbreads.', 'When the timer beeps, carefully remove the flatbreads from the oven and put them on a plate. To serve, use a big spoon to scoop an egg or two onto each plate, along with some of the sauce, and sprinkle over the coriander. Serve with the flatbreads.']",https://www.bbcgoodfood.com/recipes/roasted-pepper-shakshuka,"{'peppers': '2', 'olive oil': '1 tbsp', 'garlic cloves': '3', 'x can chopped tomatoes': '400g', 'ras el hanout': None, 'eggs': '4-8', 'flatbreads': None, 'coriander': None}","{'pepper': '2', 'olive oil': '1 tbsp', 'cloves': '3', 'chopped tomatoes': '400g', 'egg': '4-8', 'flatbread': None, 'coriander': None}",{'serves': '4'},,4,20
Spiced sage parsnips,Easy,Serves 4,Visit us on Facebook,0 reviews,True,False,False,False,True,Prep:10 mins,,"['750g parsnips (no need to peel),  scrubbed, trimmed and halved or quartered lengthways', 'vegetable oil ', 'handful of  sage, finely chopped', '½ tsp ground mace or nutmeg ', '2 tsp honey ']","https://images.immediate.co.uk/production/volatile/sites/30/2024/10/Spiced-sage-parsnips-67a118b.jpg?quality=90&resize=440,400","['Heat the air fryer to 180C. Put the parsnips into a bowl, drizzle over the oil and season with salt. Toss well. Tip into the air fryer and arrange in an even layer. Roast for 20-25 mins until golden and just tender, shaking halfway through cooking.', 'Scatter over the sage, mace or nutmeg and a little black pepper, then drizzle with the honey. Shake the air fryer basket until everything is coated. Roast for another 10 mins, until sticky and glazed.']",https://www.bbcgoodfood.com/recipes/spiced-sage-parsnips,"{'parsnips': '750g', 'vegetable oil': None, 'handful of sage': None, 'honey': '2 tsp'}","{'parsnip': '750g', 'vegetable oil': None, 'sage': None, 'honey': '2 tsp'}",{'serves': '4'},,4,10
Sausage & sweet potato traybake,Easy,Serves 4 - 6,5 stars out of 5,27 ratings,False,False,False,False,False,Prep:15 mins,,"['2 red onions, peeled and quartered', '2 corn cobs, cut into 4-6 pieces', 'mango', '2 large sweet potatoes, cut into wedges', 'pork sausages', '2 tsp ground cumin', '2 tsp paprika', '2 tsp fennel seeds', '2 tsp dried oregano', 'barbecue sauce', '2 tbsp olive oil (or vegetable or rapeseed oil)', ', chopped', 'chillies, chopped']","https://images.immediate.co.uk/production/volatile/sites/30/2020/10/Sausage-Sweet-Potato-Bake-eaa36e6.jpg?quality=90&resize=556,505","['Heat the oven to 200C/180C fan/gas 6 or if using an air fryer heat to 200C. Mix together the ingredients for the spiced sauce in a bowl. Tip the onion quarters, corn, mango, sweet potatoes and sausages into a roasting tin, then pour over the sauce and stir to coat. Season.', 'Bake for 45-50 mins, giving it a toss halfway through, until the sausages are cooked through and the sweet potato is soft. If freezing, leave to cool completely first. Can be frozen for up to one month. Defrost thoroughly before reheating in the oven at 200C/180C fan/gas 6 for 35-40 mins. Serve sprinkled with the coriander and chilli, if you like.']",https://www.bbcgoodfood.com/recipes/sausage-sweet-potato-traybake,"{'red onions': '2', 'corn cobs': '2', 'mango': None, 'large sweet potatoes': '2', 'pork sausages': None, 'ground cumin': '2 tsp', 'paprika': '2 tsp', 'fennel seeds': '2 tsp', 'dried oregano': '2 tsp', 'barbecue sauce': None, 'olive oil': '2 tbsp', 'chillies': None}","{'red onion': '2', 'mango': None, 'sweet potato': '2', 'pork sausages': None, 'cumin': '2 tsp', 'paprika': '2 tsp', 'fennel seeds': '2 tsp', 'oregano': '2 tsp', 'barbecue sauce': None, 'olive oil': '2 tbsp', 'chilli': None}",{'serves': '4'},,4 - 6,15
Christmas leftovers pizza,Easy,Serves 2,A star rating of 5 out of 5.,1 rating,False,False,False,False,False,Prep:15 mins,,"['pizza base mix', 'tomato pasta sauce', 'leftover stuffing', 'large handful (about 100g) of leftover cooked turkey, shredded', 'mozzarella,', 'small bunch of sage, leaves picked', '1 tbsp olive oil']","https://images.immediate.co.uk/production/volatile/sites/30/2020/08/pizza_2-5a1fe2f.jpg?quality=90&resize=440,400","['Heat the oven to 220C/200C fan/gas 7, or if using an air fryer heat to 200C. Prepare the pizza base mix following pack instructions (if using an air fryer, ensure it fits in your basket. You may need to make two smaller pizzas). Once rolled out, leave to rest for 10 mins, then top with the pasta sauce if using the oven. If using an air fryer, put the pizza base in the basket, brush with some oil and cook for 3 mins before flipping over and cooking for another 2-3 mins. Then add the pasta sauce.', 'Scatter over the stuffing and turkey, then top with the mozzarella. Toss the sage leaves with the oil, then scatter over the pizza, drizzling over any remaining oil. Bake for 10-12 mins until the crust is crisp and the cheese has melted.']",https://www.bbcgoodfood.com/recipes/christmas-pizza,"{'pizza base mix': None, 'tomato pasta sauce': None, 'leftover stuffing': None, 'large handful': None, 'mozzarella': None, 'small bunch of sage': None, 'olive oil': '1 tbsp'}","{'pizza': None, 'pasta sauce': None, 'stuffing': None, 'mozzarella': None, 'sage': None, 'olive oil': '1 tbsp'}",{'serves': '2'},,2,15
Turkey cobb salad,Easy,Serves 8,Visit us on Facebook,0 reviews,False,False,False,False,True,Prep:25 mins,,"['6 eggs', '50g (about 7) thin slices pancetta', '50ml rapeseed oil', 'cider vinegar', '1⁄2 tbsp Dijon mustard', '1 tbsp finely chopped parsley', '1 small garlic clove, finely grated', '500g cooked turkey breast, sliced', '3 heads of mixed chicory, leaves separated', '2 medium avocados, peeled, stoned and sliced', '4 medium tomatoes, quartered', 'mixed seeds']","https://images.immediate.co.uk/production/volatile/sites/30/2020/08/turkey-cobb-salad-58e38b4.jpg?quality=90&resize=440,400","['Cook the eggs in a large pan of boiling water for 8 mins. Drain, transfer to a bowl of cold water and leave to cool. Or if using an air fryer, you can place the eggs in a single layer in the air fryer basket and cook at 180C for 12 mins, then transfer to cold water to cool.', 'Heat the grill to high. Put the pancetta on a baking sheet lined with foil and grill for 3-4 mins, or until crisp. Pat with kitchen paper to remove any excess oil and leave to cool. Or if using an air fryer increase the air fryer temperature to 200C and cook the pancetta in a single layer for 2-3 mins until crisp.', 'Whisk the oil, vinegar, mustard, parsley and garlic together. Peel and halve the eggs.', 'Arrange the turkey, chicory, avocado, tomatoes, pancetta and eggs on a large platter. Drizzle over the dressing, season and serve with the seeds on the side for sprinkling over.']",https://www.bbcgoodfood.com/recipes/turkey-cobb-salad,"{'eggs': '6', 'rapeseed oil': '50ml', 'cider vinegar': None, 'finely chopped parsley': '1 tbsp', 'small garlic clove': '1', 'cooked turkey breast': '500g', 'heads of mixed chicory': '3', 'medium avocados': '2', 'medium tomatoes': '4', 'mixed seeds': None}","{'egg': '6', 'rapeseed oil': '50ml', 'vinegar': None, 'parsley': '1 tbsp', 'garlic': '1', 'turkey breast': '500g', 'chicory': '3', 'avocado': '2', 'tomato': '4', 'seeds': None}",{'serves': '8'},,8,25
"Brie, apple & onion tart",Easy,Serves 8 - 12,5 stars out of 5,21 ratings,True,False,False,False,False,Prep:20 mins,,"['pack ready-rolled all-butter puff pastry', '1 tbsp olive or rapeseed oil, plus a drizzle', '3 large onions, halved and sliced', 'white wine vinegar', '1 tbsp Dijon mustard', 'small bunch of thyme, leaves picked, plus a few sprigs to serve', '1 apple', 'cranberry sauce', 'brie']","https://images.immediate.co.uk/production/volatile/sites/30/2020/08/brie-apple-onion-tart-9ff84b4.jpg?quality=90&resize=440,400","[""Heat oven to 200C/180C fan/gas 6 or if using an air fryer heat to 180C. Unroll the pastry sheet onto a large baking tray (leave it on the paper from the pack). If the edges are not straight or it doesn't fit in your air fryer, trim them with a sharp knife. Score a border, about 1cm in from the edge. Score a criss-cross pattern over the central piece of pastry (this will prevent it from rising too much) and around the border, if you like. Bake for 15 mins if using an oven or 10-12 mins in the air fryer."", 'Meanwhile, heat the oil in a large pan. Add the onions and cook for 10-15 mins until softened and starting to caramelise. Stir in the vinegar, bubble for 1 min more, then add the Dijon mustard and thyme, season well and set aside. Slice the apple thinly through the core so a few slices have a nice star in the middle, and remove any seeds. Toss the slices in a splash of vinegar to prevent them from browning.', 'The pastry should be puffed and starting to colour. Push down the centre, then spread over the onions. Add blobs of cranberry sauce, then top with the apple slices and brie, overlapping them to cover the tart. Add a few more thyme sprigs, drizzle with a little oil, then put back in the oven for a further 25 mins or if using an air fryer for 10-12 mins until the cheese is bubbling and the apple slices are soft. Serve warm or cold.']",https://www.bbcgoodfood.com/recipes/brie-apple-onion-tart,"{'pack ready-rolled all-butter puff pastry': None, 'olive or rapeseed oil': '1 tbsp', 'large onions': '3', 'white wine vinegar': None, 'Dijon mustard': '1 tbsp', 'small bunch of thyme': None, 'apple': '1', 'cranberry sauce': None, 'brie': None}","{'puff pastry': None, 'rapeseed oil': '1 tbsp', 'onion': '3', 'white wine vinegar': None, 'mustard': '1 tbsp', 'thyme': None, 'apple': '1', 'cranberry sauce': None, 'brie': None}",{'serves': '8'},,8 - 12,20
"Roast potato, turkey, sausage & stuffing pie",Easy,Serves 6,5 stars out of 5,20 ratings,False,False,False,False,False,Prep:10 mins,,"['1 tbsp olive oil or rapeseed oil', 'knob of butter', '1 large onion, halved and sliced', 'sausages', '2 tsp English mustard powder', '50g plain flour', 'chicken stock cube', 'white wine', 'chicken stock', 'stuffing', '300g cooked turkey, shredded', '1 tbsp wholegrain mustard', '100g low-fat crème fraîche', 'small bunch of  parsley, chopped', 'leftover roast potatoes', '20g mature cheddar, grated']","https://images.immediate.co.uk/production/volatile/sites/30/2020/08/parsnip-bake-4e44ae2.jpg?quality=90&resize=440,400","['Heat the oil and butter in a large, shallow ovenproof casserole dish (ensure it fits in your air fryer if you plan to use it). Add the onion and cook for 10 mins over a medium heat on the hob until really soft. Push the onion to one side of the dish and add the sausages, browning them all over (skip this step if you’re using cooked leftovers).', 'Remove the sausages from the dish and set aside to cool a little. Stir the mustard powder, flour and stock cube into the oil and butter for 1-2 mins, then add the white wine. Bubble for 1 min, scraping the bottom of the dish to release any tasty bits, then add the stock. Stir to make a smooth sauce, season and bubble for 5 mins. Heat oven to 200C/180C fan/gas 6 or the air fryer to 170C.', 'Cut the sausages and stuffing into bite-sized chunks, add to the sauce with the turkey, mustard, crème fraîche and parsley. When bubbling, remove from the heat. Crumble the potatoes in your hands over the top of the filling, so you have some larger and smaller chunks. If using an air fryer, put the dish in the air fryer and cook, covered in foil, for 15 mins until bubbling. Then scatter with cheddar and cook for 5-10 mins. If using the oven, scatter the dish with cheese and bake for 40 mins until the potatoes are crisp and the filling is bubbling around the edges.']",https://www.bbcgoodfood.com/recipes/roast-potato-turkey-sausage-stuffing-pie,"{'olive oil or rapeseed oil': '1 tbsp', 'knob of butter': None, 'large onion': '1', 'sausages': None, 'English mustard powder': '2 tsp', 'plain flour': '50g', 'chicken stock cube': None, 'white wine': None, 'chicken stock': None, 'stuffing': None, 'cooked turkey': '300g', 'wholegrain mustard': '1 tbsp', 'low-fat cr': '100g', 'small bunch of parsley': None, 'leftover roast potatoes': None, 'mature cheddar': '20g'}","{'rapeseed oil': '1 tbsp', 'butter': None, 'onion': '1', 'sausage': None, 'mustard powder': '2 tsp', 'plain flour': '50g', 'chicken stock': None, 'white wine': None, 'stuffing': None, 'turkey': '300g', 'wholegrain mustard': '1 tbsp', 'fat': '100g', 'parsley': None, 'roast potatoes': None, 'cheddar': '20g'}",{'serves': '6'},,6,10
Ham & cheese croissants,Easy,Serves 2,Visit us on Facebook,0 reviews,False,False,False,False,False,Prep:5 mins,,"['croissants', 'chutney of your choice (optional)', 'thinly sliced or shredded ham', '50g gruyère, thinly sliced or grated, plus extra grated cheese for the tops', 'wholegrain or Dijon mustard, for spreading']","https://images.immediate.co.uk/production/volatile/sites/30/2023/09/Ham-and-cheese-croissant-449b9ce.jpg?quality=90&resize=556,505","['Heat the oven to 200C/180C fan/gas 6 or if using an air fryer, heat it to 190C. Split the croissants through the middle, being careful not to cut all the way through, and put on a baking sheet. Spread chutney over the bases, then top with the ham and cheese.', 'Close the croissants and spread a little mustard over the tops. Scatter over the grated cheese and some black pepper, if you like. Bake for 8-10 mins until the cheese has melted. Cool for 1-2 mins, then serve.']",https://www.bbcgoodfood.com/recipes/ham-cheese-croissants,"{'croissants': None, 'chutney of your choice': None, 'thinly sliced or shredded ham': None, 'gruy': '50g', 'wholegrain or Dijon mustard': None}","{'croissant': None, 'chutney': None, 'ham': None, 'mustard': None}",{'serves': '2'},,2,5
