title,difficulty,serves,rating,reviews,vegetarian,vegan,dairy_free,keto,gluten_free,prep_time,cook_time,ingredients,picture_url,recipe_urls,ingredients_dict
Easy paella,Easy,Serves 4,Visit us on Facebook,176 ratings,False,False,False,False,False,Prep:10 mins,,"['1 tbsp olive oil', '1 onion, chopped', '1 tsp each hot smoked paprika and dried thyme', '300g paella or risotto rice', 'dry sherry', '400g can chopped tomatoes with garlic', 'chicken stock', 'frozen seafood mix', '1 lemon,  ½ juiced, ½ cut into wedges', 'handful of flat-leaf parsley, roughly chopped']","https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-800500_11-6e543cc.jpg?quality=90&resize=440,400",https://www.bbcgoodfood.com/recipes/easy-paella,"{'olive oil': '1 tbsp', 'onion': '1', 'each hot smoked paprika and dried thyme': '1 tsp', 'paella or risotto rice': '300g', 'dry sherry': None, 'can chopped tomatoes with garlic': '400g', 'chicken stock': None, 'frozen seafood mix': None, 'lemon': '1', 'handful of flat-leaf parsley': None}"
Easy blueberry muffins,Easy,Makes 12,Visit us on Twitter,319 ratings,True,False,False,False,False,Prep:20 mins,,"['100g unsalted butter softened, plus 1 tbsp, melted, for greasing', '140g golden caster sugar', '2 large eggs', '140g natural yogurt', '1 tsp vanilla extract', '2 tbsp milk', '250g plain flour', '2 tsp baking powder', '1 tsp bicarbonate of soda', '125g pack blueberries (or use frozen)']","https://images.immediate.co.uk/production/volatile/sites/30/2020/08/blueberry-muffin-ee95fd4.jpg?quality=90&resize=440,400",https://www.bbcgoodfood.com/recipes/blueberry-muffin,"{'unsalted butter softened': '100g', 'golden caster sugar': '140g', 'large eggs': '2', 'natural yogurt': '140g', 'vanilla extract': '1 tsp', 'milk': '2 tbsp', 'plain flour': '250g', 'baking powder': '2 tsp', 'bicarbonate of soda': '1 tsp', 'pack blueberries': '125g'}"
Basic omelette recipe,Easy,Serves 1,Visit us on Facebook,82 ratings,True,False,False,False,True,Prep:5 mins,,"['3 eggs, beaten', '1 tsp sunflower oil', '1 tsp butter']","https://images.immediate.co.uk/production/volatile/sites/30/2020/08/omelette-3cba9f8.jpg?quality=90&resize=440,400",https://www.bbcgoodfood.com/recipes/basic-omelette,"{'eggs': '3', 'sunflower oil': '1 tsp', 'butter': '1 tsp'}"
Burnt basque cheesecake,Easy,Serves 12 - 15,A star rating of 4.7 out of 5.,29 ratings,True,False,False,False,False,Prep:10 mins,,"['butter, for the tin', 'soft cheese', '225g caster sugar', '2 tbsp plain flour', 'soured cream', '4 medium eggs', '2 tsp vanilla']","https://images.immediate.co.uk/production/volatile/sites/30/2021/07/Burnt-Basque-cheesecake-8da80ff.jpg?quality=90&resize=556,505",https://www.bbcgoodfood.com/recipes/burnt-basque-cheesecake,"{'butter': None, 'soft cheese': None, 'caster sugar': '225g', 'plain flour': '2 tbsp', 'soured cream': None, 'medium eggs': '4', 'vanilla': '2 tsp'}"
Sourdough pancakes,Easy,makes around 12 pancakes,Visit us on Facebook,25 ratings,True,False,False,False,False,Prep:20 mins,,"['200g self-raising flour', '1 tbsp golden caster sugar', '1 tsp baking powder', ""sourdough starter (active or the excess you'd throw away)"", '2 eggs', '260ml milk', '50g butter,  melted, plus extra butter for frying', 'sunflower oil, for cooking', 'maple syrup,  to serve']","https://images.immediate.co.uk/production/volatile/sites/30/2020/12/sourdough-pancakes-85447c5.jpg?quality=90&resize=556,505",https://www.bbcgoodfood.com/recipes/sourdough-pancakes,"{'self-raising flour': '200g', 'golden caster sugar': '1 tbsp', 'baking powder': '1 tsp', 'sourdough starter': None, 'eggs': '2', 'milk': '260ml', 'butter': '50g', 'sunflower oil': None, 'maple syrup': None}"
Vegan chocolate cake,Easy,Serves 10 - 12,Visit us on Facebook,67 ratings,True,True,True,False,False,Prep:35 mins,,"['dairy-free spread,', 'dairy-free milk', 'cider vinegar', '300g self-raising flour', '200g golden caster sugar', 'cocoa powder', '1 tsp bicarbonate of soda', '½ tsp vanilla extract', '100g dairy-free dark chocolate', 'dairy-free spread', '400g icing sugar', 'cocoa powder', 'dairy-free milk,', ' such as cherries, blackberries or figs']","https://images.immediate.co.uk/production/volatile/sites/30/2020/08/vegan-choc-cake-1905166.jpg?quality=90&resize=440,400",https://www.bbcgoodfood.com/recipes/vegan-chocolate-cake,"{'dairy-free spread': None, 'dairy-free milk': None, 'cider vinegar': None, 'self-raising flour': '300g', 'golden caster sugar': '200g', 'cocoa powder': None, 'bicarbonate of soda': '1 tsp', 'dairy-free dark chocolate': '100g', 'icing sugar': '400g', 'such as cherries': None}"
No-fuss shepherd's pie,Easy,Serves 4,Visit us on Facebook,563 ratings,False,False,False,False,False,Prep:15 mins,,"['1 tbsp sunflower oil', '1 large onion, chopped', '2-3 medium carrots, chopped', '500g pack lamb mince', 'tomato purée', 'Worcestershire sauce', 'beef stock', 'potatoes,', '85g butter', '3 tbsp milk']","https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-1035601_12-ae7f0ff.jpg?quality=90&resize=440,400",https://www.bbcgoodfood.com/recipes/no-fuss-shepherds-pie,"{'sunflower oil': '1 tbsp', 'large onion': '1', 'medium carrots': '2-3', 'pack lamb mince': '500g', 'tomato pur': None, 'Worcestershire sauce': None, 'beef stock': None, 'potatoes': None, 'butter': '85g', 'milk': '3 tbsp'}"
Creamy Tuscan chicken,Easy,Serves 4,A star rating of 4.8 out of 5.,47 ratings,False,False,False,False,False,Prep:10 mins,,"['2 tbsp plain flour', '1 tbsp smoked paprika', '2 tsp oregano', '4 skin-on chicken breasts', 'sundried tomatoes,', '4 garlic cloves, finely grated or crushed', 'white wine', 'chicken stock', '200g spinach', '150ml double cream', 'grated parmesan', 'cooked rice, to serve', 'small handful of parsley, chopped']","https://images.immediate.co.uk/production/volatile/sites/30/2023/02/Tuscan-chicken-15f0b8f.jpg?quality=90&resize=556,505",https://www.bbcgoodfood.com/recipes/tuscan-chicken,"{'plain flour': '2 tbsp', 'smoked paprika': '1 tbsp', 'oregano': '2 tsp', 'skin-on chicken breasts': '4', 'sundried tomatoes': None, 'garlic cloves': '4', 'white wine': None, 'chicken stock': None, 'spinach': '200g', 'double cream': '150ml', 'grated parmesan': None, 'cooked rice': None, 'small handful of parsley': None}"
Beef stroganoff,Easy,Serves 4,Visit us on Facebook,272 ratings,False,False,False,False,False,Prep:10 mins,,"['1 tbsp olive oil', '1 onion, sliced ', '1 clove of  garlic', '1 tbsp butter', '250g mushrooms, sliced', '1 tbsp plain flour', 'fillet steak,', '150g crème fraîche', '1 tsp English mustard', 'beef stock', '½ small pack of parsley, chopped  ']","https://images.immediate.co.uk/production/volatile/sites/30/2020/08/beefstroganoff-d53f55e.jpg?quality=90&resize=440,400",https://www.bbcgoodfood.com/recipes/beef-stroganoff,"{'olive oil': '1 tbsp', 'onion': '1', 'clove of garlic': '1', 'butter': '1 tbsp', 'mushrooms': '250g', 'plain flour': '1 tbsp', 'fillet steak': None, 'cr': '150g', 'English mustard': '1 tsp', 'beef stock': None}"
Easy lemonade,Easy,Makes about 1.25 litres,Visit us on Pinterest,108 ratings,True,False,False,False,False,Prep:10 mins,,"['3 unwaxed lemons, roughly chopped ', '140g caster sugar', 'cold water']","https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-559606_11-d900fed.jpg?quality=90&resize=440,400",https://www.bbcgoodfood.com/recipes/really-easy-lemonade,"{'unwaxed lemons': '3', 'caster sugar': '140g', 'cold water': None}"
Homemade cherry pie,More effort,Serves 8-10,Visit us on Twitter,14 ratings,True,False,False,False,False,Prep:40 mins,,"['400g plain flour, plus a little for dusting', '50g ground almonds, plus 2 tbsp', '225g cold  butter', '75g white caster sugar', '2 egg yolks', '800g cherries', 'cherry jam', '50g caster sugar, plus a little for sprinkling', 'cornflour', '1 egg white, beaten']","https://images.immediate.co.uk/production/volatile/sites/30/2020/08/cherry-pie-c17ad3c.jpg?quality=90&resize=440,400",https://www.bbcgoodfood.com/recipes/cherry-pie,"{'plain flour': '400g', 'ground almonds': '50g', 'cold butter': '225g', 'white caster sugar': '75g', 'egg yolks': '2', 'cherries': '800g', 'cherry jam': None, 'caster sugar': '50g', 'cornflour': None, 'egg white': '1'}"
Spaghetti & meatballs,Easy,Makes about 10 servings,Visit us on Pinterest,262 ratings,False,False,False,False,False,Prep:30 mins,,"['good-quality pork sausages', '1 kg beef mince', '1 onion,  finely chopped', '½ a large bunch  flat-leaf parsley,  finely chopped', '85g parmesan,  grated, plus extra to serve (optional)', 'fresh breadcrumbs', '2 eggs,  beaten with a fork', 'olive oil,  for roasting', '  to serve (about 100g per portion)', '3 tbsp olive oil', '4 garlic cloves,  crushed', '4 x 400g cans  chopped tomatoes', 'red wine', '3 tbsp caster sugar', '½ a large bunch of flat-leaf parsley,  finely chopped', 'few basil leaves (optional)']","https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-1035708_10-fdc5ae0.jpg?quality=90&resize=440,400",https://www.bbcgoodfood.com/recipes/spaghetti-meatballs,"{'good-quality pork sausages': None, 'kg beef mince': '1', 'onion': '1', 'parmesan': '85g', 'fresh breadcrumbs': None, 'eggs': '2', 'olive oil': '3 tbsp', 'to serve': None, 'garlic cloves': '4', 'x cans chopped tomatoes': '400g', 'red wine': None, 'caster sugar': '3 tbsp', 'few basil leaves': None}"
Best ever macaroni cheese recipe,Easy,Serves 4,Visit us on Facebook,332 ratings,True,False,False,False,False,Prep:10 mins,,"[' cut into small chunks', '2 tbsp butter, plus 1 tbsp melted', '350g spiral or other short pasta', '1 garlic clove, finely chopped', '1 tsp English mustard powder', '3 tbsp plain flour', '500ml whole milk', '250g vegetarian mature cheddar, grated ', '50g parmesan (or vegetarian alternative), grated ']","https://images.immediate.co.uk/production/volatile/sites/30/2010/06/macaroni-cheese-3560f76.jpg?quality=90&resize=556,505",https://www.bbcgoodfood.com/recipes/best-ever-macaroni-cheese-recipe,"{'cut into small chunks': None, 'butter': '2 tbsp', 'spiral or other short pasta': '350g', 'garlic clove': '1', 'English mustard powder': '1 tsp', 'plain flour': '3 tbsp', 'whole milk': '500ml', 'vegetarian mature cheddar': '250g', 'parmesan': '50g'}"
Classic waffles,Easy,Makes 4-6 (depending on your waffle maker),Visit us on Facebook,68 ratings,True,False,False,False,False,Prep:5 mins,,"['1 egg', '225g self-raising flour', '1 tbsp golden caster sugar (optional)', '250ml milk', '50g butter, melted and cooled ', '½ tsp vanilla extract (optional)', 'sunflower or vegetable oil', 'maple syrup and icing sugar, to serve (optional)']","https://images.immediate.co.uk/production/volatile/sites/30/2022/09/Classic-Waffles-0ae28b2.jpg?quality=90&resize=556,505",https://www.bbcgoodfood.com/recipes/classic-waffles,"{'egg': '1', 'self-raising flour': '225g', 'golden caster sugar': '1 tbsp', 'milk': '250ml', 'butter': '50g', 'sunflower or vegetable oil': None, 'maple syrup and icing sugar': None}"
Hainanese chicken rice,Easy,Serves 2 - 4,Visit us on Instagram,0 reviews,False,False,False,False,False,Prep:40 mins,,"['1 whole chicken, around 1.2kg, or thighs for quicker cooking', '4 garlic cloves, crushed or minced', '150g piece  of fresh ginger, sliced', '1 ½  spring onions, sliced', '½ tsp ground turmeric', '210g rice, washed', 'coriander', 'cucumber', 'thumb sized piece of  ginger, finely chopped or finely grated', '1 spring onion, thinly sliced', '1 garlic clove, minced', 'pinch of  sugar', 'chicken bouillon powder ', 'vegetable oil', '2 red chillies, chopped', '1 garlic clove, minced or crushed', '1 tsp  fish sauce  (optional)', '1 tsp  light soy sauce', 'vinegar', ', prepared from the whole chicken']","https://images.immediate.co.uk/production/volatile/sites/30/2024/09/HainaneseChickenRice-198559a.jpg?quality=90&resize=556,505",https://www.bbcgoodfood.com/recipes/hainanese-chicken-rice,"{'whole chicken': '1', 'garlic cloves': '4', 'piece of fresh ginger': '150g', 'rice': '210g', 'coriander': None, 'cucumber': None, 'thumb sized piece of ginger': None, 'spring onion': '1', 'garlic clove': '1', 'pinch of sugar': None, 'chicken bouillon powder': None, 'vegetable oil': None, 'red chillies': '2', 'fish sauce': '1 tsp', 'light soy sauce': '1 tsp', 'vinegar': None}"
Orange chicken,Easy,Serves 4,Visit us on Instagram,0 reviews,False,False,True,False,False,Prep:25 mins,,"['1 egg, beaten', '2 skinless chicken breasts', 'ground white pepper ', '6 heaped tbsp  self-raising flour ', 'cornflour ', 'vegetable oil', '1 orange , sliced then quartered or halved', 'shredded iceberg lettuce, steamed basmati rice and finely chopped spring onions, to serve', 'cornflour ', 'double-strength orange cordial']","https://images.immediate.co.uk/production/volatile/sites/30/2024/09/TakeawayOrangeChicken-9d84081.jpg?quality=90&resize=556,505",https://www.bbcgoodfood.com/recipes/orange-chicken,"{'egg': '1', 'skinless chicken breasts': '2', 'ground white pepper': None, 'heaped self-raising flour': '6 tbsp', 'cornflour': None, 'vegetable oil': None, 'orange': '1', 'shredded iceberg lettuce': None, 'double-strength orange cordial': None}"
Korean corndogs,Easy,Makes 4 ,Visit us on Instagram,0 reviews,False,False,False,False,False,Prep:25 mins,,"['cornmeal', '185g plain flour, plus 2 tbsp ', '6½ tbsp  caster sugar', '2 tsp  baking powder', '250ml milk', 'hot dogs', ', for deep-frying', ', to serve']","https://images.immediate.co.uk/production/volatile/sites/30/2024/09/KoreanCorndog-63c63dc.jpg?quality=90&resize=556,505",https://www.bbcgoodfood.com/recipes/korean-corndogs,"{'cornmeal': None, 'plain flour': '185g', 'baking powder': '2 tsp', 'milk': '250ml', 'hot dogs': None}"
Korean BBQ sauce,Easy,Makes about 400ml,Visit us on Facebook,1 rating,True,True,True,False,False,Prep:15 mins,,"['vegetable oil', '1 tbsp grated garlic', 'passata', '125g dark brown soft sugar ', 'apple cider vinegar', '2 tbsp  soy sauce', '1½ tsp  gochujang ']","https://images.immediate.co.uk/production/volatile/sites/30/2024/09/KoreanBBQSauce-74f1029.jpg?quality=90&resize=556,505",https://www.bbcgoodfood.com/recipes/korean-bbq-sauce,"{'vegetable oil': None, 'grated garlic': '1 tbsp', 'passata': None, 'dark brown soft sugar': '125g', 'apple cider vinegar': None, 'soy sauce': '2 tbsp'}"
Kimchi jjigae,Easy,Serves 2,Visit us on Instagram,0 reviews,False,False,True,False,False,Prep:20 mins,,"['400g mature kimchi', 'vegetable oil', '¼ small  brown onion, finely sliced ', '200g  pork belly, finely sliced', 'gochugaru ', '1 tsp  caster sugar', '150g firm tofu, drained ', '2 spring onions, finely chopped']","https://images.immediate.co.uk/production/volatile/sites/30/2024/09/KimchiJjigaeKoreanKimchiStew-0c3995f.jpg?quality=90&resize=556,505",https://www.bbcgoodfood.com/recipes/kimchi-jjigae,"{'mature kimchi': '400g', 'vegetable oil': None, 'pork belly': '200g', 'gochugaru': None, 'caster sugar': '1 tsp', 'firm tofu': '150g', 'spring onions': '2'}"
Hwachae (Korean watermelon punch),Easy,Serves 4 / makes 2 litres,Visit us on Instagram,0 reviews,True,True,True,False,True,Prep:15 mins,,"['1 watermelon, approximately 3.5kg', 'lemonade', '1 apple, cored and cut into 1cm cubes', 'frozen blueberries']","https://images.immediate.co.uk/production/volatile/sites/30/2024/09/HwachaeKoreanWatermelonPunch-a6b7c6e.jpg?quality=90&resize=556,505",https://www.bbcgoodfood.com/recipes/hwachae-korean-watermelon-punch,"{'watermelon': '1', 'lemonade': None, 'apple': '1', 'frozen blueberries': None}"
Gobi manchurian,Easy,Serves 4,Visit us on Facebook,1 rating,True,True,True,False,False,Prep:25 mins,,"['1 cauliflower, cut into florets', ', for frying', '2 garlic cloves, chopped', '1 green chilli, chopped', '1 red onion, diced ', '2 spring onions, finely sliced, plus extra to serve', '½ red pepper, diced ', '½ green pepper, diced', 'ketchup', 'chilli sauce', '2 tbsp  soy sauce', 'rice vinegar', '1 tbsp  chilli flakes', 'ground black pepper', '100g plain flour ', 'cornflour', '1 tsp  chilli powder', '1 tsp  Kashmiri chilli powder']","https://images.immediate.co.uk/production/volatile/sites/30/2024/09/GobiManchurian-ad8498d.jpg?quality=90&resize=556,505",https://www.bbcgoodfood.com/recipes/gobi-manchurian,"{'cauliflower': '1', 'garlic cloves': '2', 'green chilli': '1', 'red onion': '1', 'spring onions': '2', 'ketchup': None, 'chilli sauce': None, 'soy sauce': '2 tbsp', 'rice vinegar': None, 'chilli flakes': '1 tbsp', 'ground black pepper': None, 'plain flour': '100g', 'cornflour': None, 'chilli powder': '1 tsp', 'Kashmiri chilli powder': '1 tsp'}"
Dum aloo,Easy,Serves 4,Visit us on Instagram,0 reviews,True,False,False,False,True,Prep:25 mins,,"['500g baby potatoes, peeled', '2 tbsp  vegetable or sunflower oil', '1 onion, finely chopped', 'cardamom pods', 'bay leaves', '2 cinnamon sticks', '½ tsp  cumin seeds', 'kalonji seeds', '1 medium  tomato, chopped', 'ginger and garlic paste', '1 tsp  fenugreek ', '1 tsp  chilli powder', '½ tsp  turmeric', 'ground coriander', '1 tsp  cumin', '1 tbsp  gram flour (chickpea flour)', 'Greek yogurt', ', to serve']","https://images.immediate.co.uk/production/volatile/sites/30/2024/09/DumAloo-46e8044.jpg?quality=90&resize=556,505",https://www.bbcgoodfood.com/recipes/dum-aloo,"{'baby potatoes': '500g', 'vegetable or sunflower oil': '2 tbsp', 'onion': '1', 'cardamom pods': None, 'bay leaves': None, 'cinnamon sticks': '2', 'kalonji seeds': None, 'medium tomato': '1', 'ginger and garlic paste': None, 'fenugreek': '1 tsp', 'chilli powder': '1 tsp', 'ground coriander': None, 'cumin': '1 tsp', 'gram flour': '1 tbsp', 'Greek yogurt': None}"
Chapli kebabs,Easy,Serves 6,Visit us on Instagram,0 reviews,False,False,True,False,False,Prep:35 mins,,"['1 tbsp  coriander seeds', '1 tbsp  cumin seeds', '500g beef or lamb mince ', 'ground black pepper', '1 tsp  chilli flakes', '2 chillies, finely chopped', '1 tbsp  ginger paste ', 'garlic paste', '1 medium  onion, finely chopped', '5 spring onions, finely chopped', 'breadcrumbs ', '1 large  tomato, chopped into small pieces ', '5g mint, finely chopped ', 'coriander', ', for shaping and deep-frying ', ', to serve (optional)']","https://images.immediate.co.uk/production/volatile/sites/30/2024/09/ChapliKebabs-16b1490.jpg?quality=90&resize=556,505",https://www.bbcgoodfood.com/recipes/chapli-kebabs-2,"{'coriander seeds': '1 tbsp', 'cumin seeds': '1 tbsp', 'beef or lamb mince': '500g', 'ground black pepper': None, 'chilli flakes': '1 tsp', 'chillies': '2', 'ginger paste': '1 tbsp', 'garlic paste': None, 'medium onion': '1', 'spring onions': '5', 'breadcrumbs': None, 'large tomato': '1', 'mint': '5g', 'coriander': None}"
Black bean sauce,Easy,Makes 280g,Visit us on Youtube,0 reviews,False,False,False,False,False,Prep:15 mins,,"['2 tbsp  vegetable, sunflower or rapeseed oil', '1 tbsp  finely chopped or minced ginger', '2 large  garlic cloves, minced or finely grated', 'dried fermented black beans ', 'Shaoxing wine', '2 tbsp  light soy sauce', '¼ tsp  sugar', 'sesame oil', 'white ground pepper', 'cornflour ']","https://images.immediate.co.uk/production/volatile/sites/30/2024/09/BlackBeanSauce-2051145.jpg?quality=90&resize=556,505",https://www.bbcgoodfood.com/recipes/black-bean-sauce,"{'vegetable': '2 tbsp', 'finely chopped or minced ginger': '1 tbsp', 'large garlic cloves': '2', 'dried fermented black beans': None, 'Shaoxing wine': None, 'light soy sauce': '2 tbsp', 'sesame oil': None, 'white ground pepper': None, 'cornflour': None}"
Korean bibimbap,Easy,Serves 1,Visit us on Pinterest,5 ratings,True,False,True,False,False,Prep:20 mins,,"['1 chestnut mushroom, finely sliced', '½ courgette, halved and finely sliced', '¼ carrot, cut into think matchsticks', '40g beansprouts', '30g spinach', 'sesame oil', 'sesame seeds', 'vegetable oil', '1 egg', 'cooked sushi rice ', '2 tbsp  gochujang (Korean red pepper paste)', 'sesame seeds', '1 tsp  caster sugar', 'sesame oil']","https://images.immediate.co.uk/production/volatile/sites/30/2024/09/BibimbapKoreanMixedRice-6a656fe.jpg?quality=90&resize=556,505",https://www.bbcgoodfood.com/recipes/korean-bibimbap,"{'chestnut mushroom': '1', 'beansprouts': '40g', 'spinach': '30g', 'sesame oil': None, 'sesame seeds': None, 'vegetable oil': None, 'egg': '1', 'cooked sushi rice': None, 'gochujang': '2 tbsp', 'caster sugar': '1 tsp'}"
